,Next Day Close,Predicted Next Close,Current Day Close,Next Day Open,Signal,PnL
551,8.24,8.20114825486533,8.9,8.78,1,-6.1503416856491935
552,8.02,8.230235776350384,8.61,8.62,1,-6.960556844547561
553,7.95,8.03174840042928,8.71,8.76,1,-9.246575342465748
554,7.97,8.009224988821444,8.88,8.78,1,-9.2255125284738
555,7.91,7.937323760600775,8.71,8.7,1,-9.080459770114933
556,7.79,7.889255732773818,8.83,8.84,1,-11.877828054298641
557,7.79,7.916987919899184,8.93,8.88,1,-12.274774774774782
558,7.9,7.842955326147858,8.76,8.71,1,-9.29965556831229
559,7.91,7.98029389757292,8.52,8.5,1,-6.941176470588234
560,7.93,7.839832988519702,8.3,8.3,1,-4.457831325301216
561,7.91,7.974044874437168,8.31,8.33,1,-5.042016806722689
562,7.91,7.97938791925415,8.41,8.43,1,-6.168446026097267
563,7.9,7.931024857224911,8.57,8.59,1,-8.032596041909192
564,7.96,7.894872202548213,8.53,8.49,1,-6.2426383981154325
565,8.06,7.971175794325318,8.57,8.54,1,-5.620608899297409
566,8.41,8.149029668430813,8.63,8.08,1,4.084158415841585
567,8.13,8.510564405830593,8.73,8.61,1,-5.574912891986047
568,8.13,8.12495555205831,8.38,8.27,1,-1.692865779927434
569,8.15,8.17644178798517,8.39,8.32,1,-2.04326923076923
570,8.07,8.201927565339503,8.24,8.22,1,-1.8248175182481792
571,7.9,8.06726639328852,8.28,8.36,1,-5.502392344497597
572,7.9,7.975025080329288,8.24,7.99,1,-1.1264080100125138
573,7.96,7.954845776675284,8.02,8.0,1,-0.5000000000000004
574,7.94,8.030464293794722,7.95,7.91,1,0.37926675094817003
575,7.87,7.941461938036155,7.97,7.96,1,-1.1306532663316566
576,7.86,7.862978498752709,7.91,7.9,1,-0.5063291139240511
